"Medicine Name","Price","Is Prescription Required?","Quantity","Manufacturer","Image URL"
"Nasivion Classic Adult 0.05% Nasal Spray | Fast Relief from Blocked Nose","₹112","","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/twii283fcqwd0xs7lzer.png"
"Povinanz Throat Spray","₹126","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/pggsjdhxe8pobkg0og33.jpg"
"Oroclear Mouth Spray Mint","₹139","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/ks5jtmrbqc18o7ylnr1i.jpg"
"Wetadine 1 Mouth Spray Mint","₹140","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/ezs7a44p4g445c6ukcrr.jpg"
"Drez Spray","₹159","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/qvyr0yyhlwrglbgvcrib.jpg"
"Betadine 10% Vaginal Douche","₹169","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Vinodine Antiseptic Germicidal Spray","₹187","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/dmfbxtdsfu3khxfb4ami.png"
"Virospray Mouth Spray","₹189","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/lag47vulopktmmxjaao0.jpg"
"Otrivin Saline","₹88","","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/58dbd6fa58f245f2825f4b95ac9c3105.jpg"
"Povi 10 Spray","₹89","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Sinozap-O Nasal Spray","₹103","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/7b14d86dec5c4b44930cbe5768718bc1.jpg"
"Ostioxen Nasal Solution","₹1106","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/b3259f69cbf84c91b3768c1471b67206.jpg"
"Nosivak 0.05% Nasal Spray","₹111","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Resbud 1mg Respules(2ml Each)","₹123","1","1","Respiratory","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/eb5612bf521e4be7831617ea1f0b874b.jpg"
"Budelyde 0.5 Respules (2ml Each)","₹124","1","1","Respiratory","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/e81fa6818a134ff3a1642bc870d7abd2.jpg"
"Resbud Respules(2ml Each)","₹124","1","1","Respiratory","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/1d195ebfe75f4aa8931b4cce0ffc3d73.jpg"
"Sufrate TP Spray","₹126","1","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Budeflo Nebuliser Solution","₹126","1","1","Respiratory","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"BUDAsure Pulmules (2ml Each)","₹126","1","1","Respiratory","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/eb4e7a6733db4fb486fc0b17dfbf0830.jpg"
"Budenase AQ Nasal Spray","₹129","1","1","Respiratory","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/nbbscjebdrh4snsnhrbd.jpg"
"Xylorex Nasal Spray","₹135","1","1","Respiratory","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Repressin Intranasal Spray","₹1350","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/686ddbb097c04216aa3b91597f377cec.jpg"
"Flutiviio Nasal Spray","₹196","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Osteonin Nasal Solution","₹2015","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/zdw1brxo413shddzcbt9.jpg"
"Knoglina Nasal Spray","₹2062","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/0bd67154c14c4d58ad545c5e2db531a9.jpg"
"Revosal Pro Metered Nasal Spray","₹215","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/5e3778ded5774f94a6ec45c7744264dd.jpg"
"Nebulair Respules 2ml","₹216","1","7","Respiratory","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/pcgwslkdztmdco1pswnb.jpg"
"Wisel-F Nasal Spray","₹224","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Fivasa 27mcg Nasal Spray","₹225","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Neo Flutivin Nasal Spray","₹234","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Flutivin Nasal Spray","₹253","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Fivasa AZ 27.5 mcg/140 mcg Nasal Spray","₹253","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Rhinocort 50mcg Nasal Spray","₹253","1","1","Respiratory","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Flutivin-O Nasal Spray","₹257","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Flutinase 0.05% Nasal Spray","₹257","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"E-Saliva Plus Mouth Spray","₹265","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/a30e3040f38a4552a683171e712095d7.jpg"
"Dermichlor Pet Spray","₹275","1","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/9a38ba48b5cc4bde9c2d903130d7dfe8.jpg"
"Zivacort AZ Nasal Spray","₹276","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Zivacort F 27.5mcg Nasal Spray","₹279","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Huchnil-S Nasal Spray","₹29","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Flocare AZ Nasal Spray","₹299","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"NASIVION S NASAL SPRAY","₹30","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"FT For 27.5mcg Nasal Spray","₹309","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Budiclear Nasal Spray","₹323","1","1","Respiratory","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Flutinaz Plus 50mcg Nasal Spray","₹327","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Momenaz 50mcg Nasal Spray","₹328","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Flutizap Nasal Spray","₹328","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/3ee6cdcb449040c1a37372c8ff8d694b.jpg"
"Caspray 27.5mcg Nasal Spray","₹350","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Sino-Rinse Isotonic Nasal Spray","₹354","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/2794c964-1e56-4330-985d-3dfd017bab00.png"
"Flocare 27.5mcg Nasal Spray","₹356","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Flutizen-AZ Nasal Spray","₹364","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Zml Wash Nasal Spray","₹374","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/66e8f0c2fe4a4ebfbcdedfe1459ea2b2.jpg"
"Nazeflo-XI Nasal Spray","₹375","1","1","Respiratory","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/alje6qsmarqbrivtdrrt.jpg"
"Huchnil P 0.05% Nasal Spray","₹39","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Wisel 0.1% Nasal Solution","₹39","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Flutinaz 27.5mcg Nasal Spray","₹392","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Flutinaz A Plus Nasal Spray","₹393","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Flutivac AZ Nasal Spray","₹428","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Larmist-FF Nasal Spray","₹444","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/64f8296c20944e28bf2315049234a928.jpg"
"Larmist-AZ Nasal Spray","₹450","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/f496cd0d238a43cd9fc6c7f2c23e23cf.jpg"
"Xylonase 0.1 % Adult Nasal Spray","₹46","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Nasowel Nasal Spray","₹46","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Nsprey Nasal Spray","₹461","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/b618f96e1034447fbca2ad5eb81550a8.jpg"
"Nose Fine Nasal Spray","₹464","1","1","Respiratory","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/4b43e6c2-1853-4f55-b790-16d0b9a39b95.png"
"Sinozap-S Nasal Spray","₹52","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/c2f308920d534ad1ba146910993358b7.jpg"
"Nosivia-S Nasal Spray","₹58","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/39ca1bee06924faca66082079cdf71c8.jpg"
"Derinide-AQ Nasal Spray","₹589","1","1","Respiratory","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/mlg0vsretyzwaq6appru.jpg"
"Nosytrex Oxy Nasal Solution","₹67","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/e0cc28dd9fde4dc89b308acc14c74951.jpg"
"NASIVION ADVANCED NASAL SPRAY","₹71","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Revosal Neo Nasal Spray","₹76","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/670a1376ed254cc888fd3c120d7cc967.jpg"
"Salivary Spray","₹796","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/qegvogdp9a5axu65it9d.jpg"
"Otrivin S Nasal Spray","₹80","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/emyhy7z20rerp07cm4q6.png"
"BECTODINE 5% DUSTING POWDER","₹10","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Povicidal 5% Powder","₹10","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Afrid Solution","₹100","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/697949e0b5cb47898ee6dc77065ec0d8.jpg"
"Tudin 10% Solution","₹100","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/aa33690d18c8481d9a52437d7c5212fa.jpg"
"Eludril Mouth Wash","₹100","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Nozcalm-RS Respules (4ml Each)","₹100","","1","Respiratory","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Piodine 10 Solution","₹102","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Betadine 10% Solution","₹102","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/civy1x8sfxg5xmtq7zlz.jpg"
"Oladent Mouth Wash","₹102","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"GlucoWash+ Mouth Wash","₹103","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/5dd73bf9466f492ba2b12dde0df909da.jpg"
"Periex Mouth Wash","₹103","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/mtyphtzh6ibpdwnk9tkb.jpg"
"Idopar Gargle","₹103","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/fgpeoex0df6k2gdwys2c.jpg"
"Hexifer Mouth Wash Buy 1 Get 1 Free","₹103","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/y5jlicthbdd1cmx9tc4l.jpg"
"Hexiat Plus Mouth Wash","₹103","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Savlon Antiseptic Disinfectant Liquid","₹104","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/oddhq51a75wapch1pfn4.jpg"
"Hexidine -EP Mouth Wash","₹104","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/78a474bc31d940b5a2dbf8db4c5a1969.jpg"
"Nitra Hex Mouth Wash","₹105","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/od2ucqywnc9gfqnhdysx.jpg"
"Microgen Handshield P.V. 10% Solution Golden Brown","₹106","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Piodin 5% Solution","₹106","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Betadine Surgical Scrub 7.5%","₹106","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/d685c340d6fa41659e6f5f027a361cd7.jpg"
"Hexizone 0.2% Mouth Wash","₹107","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Avofresh 0.2% Mouth Wash","₹107","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Xepi Rub CET Antiseptic","₹107","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Prohex Mouth Wash","₹109","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Drez 5% Solution","₹11","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Povipen Powder","₹11","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Alphadine 1% Gargle","₹11","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Orogin 0.2% Mouth Wash","₹110","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Betakind Ready Gargle Mint","₹112","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/dwvqmmtzfzudrd9we1fk.png"
"Aster-X Mouth Wash","₹113","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/604f6beda30b45d3955ba8a31c4f576f.jpg"
"PoviTotal Gargle","₹113","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/b9af95d46e714ed988a1bfe9b931e153.jpg"
"Strrong Gargle","₹117","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/ovcmfua8ahwqbm5pejrt.png"
"Kriam Pharma Povidone-Iodine Germicide Gargle Mint","₹117","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/1cb4139639b24ba3b90e3377cc683cd9.jpg"
"Kosdine 2% Gargle","₹117","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Aedimint Mouth Wash","₹117","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Bictofine 2% Gargle","₹118","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Aqua-Rinse Mouth Wash","₹120","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Skinn-C Soap","₹122","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/922f3fb683cb4bf7a24a4b48091b77fe.jpg"
"Poviclean Gargle Mint","₹123","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/oldxshjhib791nlcflcs.jpg"
"Drez Gargle","₹126","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/v2zahfusyo2wdegruaex.jpg"
"BETADINE 10% PAINT","₹127","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Krihex-MW Mouth Wash","₹130","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Orobet Gargle","₹131","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Healol 5% Liquid","₹135","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Tata 1mg Chlorhexidine Gluconate ,Sodium Fluoride & Zinc Chloride Mouth Wash Spearmint Sugar Free","₹135","","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/2ed99fd823d44187a0897b188bd2b796.jpg"
"Hexidine Mouth Wash","₹136","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/rnfjpuguepjfapvrfteq.jpg"
"Betakind Gargle Mint","₹137","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/d9cdb2cd3e7a4c3ba3615e1510336ebc.jpg"
"Elgydium Anti Plaque Anti Plaque Toothpaste","₹137","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"MQ-Fresh Mouth Wash Antiseptic & Antiplaque","₹139","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Germicept 2% Gargle","₹139","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cbprqthg12doubvjqapg.jpg"
"Poviderm Solution","₹14","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Idovine Gargle","₹140","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hbdrxcsyyzlpxpywkrod.jpg"
"Walvidone 2% Gargle","₹140","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Mutadine 7.5% Solution","₹1406","","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/a6ca26194cb6405da4c392db23724b6f.jpg"
"Prorapid 2% Gargle","₹143","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Alcadin 2% Gargle","₹145","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Aqua Joy Mouth Wash","₹150","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Povifine Germicide 2% Gargle","₹150","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Povaril Gargle","₹154","","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/npiypni1gpkq5e4frem0.jpg"
"Winodine Solution","₹16","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Betadine Powder","₹162","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/3a1ace5fd6ae4d78a225d50caf16cf32.jpg"
"Macbery Gargle Mint Sugar Free","₹163","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/1a041a0edc864c0bae509289e96b9524.jpg"
"Axonidine Gargle","₹164","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Dresin Solution","₹164","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/g7f59xeb9h8h07drgc5y.jpg"
"Rexidin SRS Mouth Wash","₹164","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/70246cac6aee47849942d7a8929a33bb.jpg"
"Hexalor 0.2% Mouth Wash","₹168","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Octenoxa Gargle Mint","₹168","","1","ENT/Oral","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/zhuxvbt1ej7of2ys3lxf.jpg"
"Heal Fast Solution","₹169","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Polydone Solution","₹173","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/vymfmel3kwgebkgccex6.jpg"
"Topovid 2% Gargle","₹173","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
